t_local;t_unix;ems_68_grid_power_feed_in_w;ems_68_grid_power_delivery_w;ems_68_battery_power_supply_w;ems_68_battery_power_demand_w;ems_68_pv_power_supply_w;ems_68_user_power_demand_w;ems_68_charge_point_power_demand_w;ems_68_heatpump_power_demand_w
2021-10-19T11:15:00+02:00;1634634900;10,03536798;11,04449251;0,161349684;486,7848689;754,3151583;215,4754602;0;53,37136622
2021-10-19T11:30:00+02:00;1634635800;3,199156165;13,25829524;0;585,4045388;831,1077658;202,0176682;0;53,54091083
2021-10-19T11:45:00+02:00;1634636700;11,37569226;12,03186636;1,16665775;375,2229565;622,9561881;196,1006794;0;52,74608544
2021-10-19T12:00:00+02:00;1634637600;18,77862509;19,99986803;18,4319239;261,7149529;859,3870912;242,0170366;0;391,2622519
2021-10-19T12:15:00+02:00;1634638500;13,77520854;19,94489222;8,429156955;376,3104228;944,5081483;196,2840087;0;370,9657001
2021-10-19T12:30:00+02:00;1634639400;16,1708357;9,254348718;84,4791666;351,4938774;714,9095499;387,3758767;0;53,67654311
2021-10-19T12:45:00+02:00;1634640300;12,57728459;11,56387585;0,289122492;633,5529069;870,1343267;180,9923008;0;54,86934394
2021-10-19T13:00:00+02:00;1634641200;6,544329718;9,316953667;0;733,8475936;985,0420469;200,1339418;0;53,80105331
2021-10-19T13:15:00+02:00;1634642100;7,200844042;12,96081584;0;996,0704991;1230,972808;186,963829;0;53,62548823
2021-10-19T13:30:00+02:00;1634643000;0,79431051;19,74747023;0;1179,102862;1405,570716;191,4038326;0;54,08114924
2021-10-19T13:45:00+02:00;1634643900;68,00114434;79,79696149;18,09427134;1205,093987;1562,58028;333,988123;0;53,26708969
2021-10-19T14:00:00+02:00;1634644800;41,29271947;25,68015788;29,61660689;579,3888472;891,973618;272,0828686;0;54,70714805
2021-10-19T14:15:00+02:00;1634645700;11,26368811;12,55275287;1,200000018;558,2907168;821,9099893;211,5565956;0;54,46015042
2021-10-19T14:30:00+02:00;1634646600;5,986334406;4,441997595;0;399,2009893;663,1121674;208,4911894;0;53,92339362
2021-10-19T14:45:00+02:00;1634647500;46,80203312;54,29667565;0,604923382;1109,506819;1455,938452;300,5469353;0;54,29056862
2021-10-19T15:00:00+02:00;1634648400;79,03370174;123,3457615;0;2262,465515;2551,090051;277,796408;0;54,28990688
2021-10-19T15:15:00+02:00;1634649300;32,01411076;84,28733565;3,795076683;1928,414874;2278,73351;208,2274706;0;214,4375995
2021-10-19T15:30:00+02:00;1634650200;14,4157832;26,00409193;0;1395,459554;2143,689069;218,0287074;0;542,780034
2021-10-19T15:45:00+02:00;1634651100;10,60039508;56,61283828;0;2513,156779;2768,159244;173,6011544;0;110,5777645
2021-10-19T16:00:00+02:00;1634652000;4,273495957;48,52260377;0;2347,332656;2528,298302;171,0948249;0;54,16272908
2021-10-19T16:15:00+02:00;1634652900;11,52611174;54,90960982;0;1789,654136;2068,407978;266,9243272;0;55,39292307
2021-10-19T16:30:00+02:00;1634653800;0,366923928;40,4707048;0;1561,518437;1824,466186;249,384663;0;53,87140083
2021-10-19T16:45:00+02:00;1634654700;23,20350244;57,02574048;0;1201,878221;1434,60941;212,7435026;0;54,33773029
2021-10-19T17:00:00+02:00;1634655600;29,87900925;40,41111067;9,948367216;186,2040703;389,1705533;159,2261316;0;63,64796591
2021-10-19T17:15:00+02:00;1634656500;10,41744898;29,35952438;329,7570225;70,63170571;434,879959;647,6428649;0;66,14460421
2021-10-19T17:30:00+02:00;1634657400;16,72508072;46,65149815;802,2946273;66,60778894;583,2215368;1282,611728;0;66,20269033
2021-10-19T17:45:00+02:00;1634658300;27,3039382;58,4189046;1342,800768;2,900687881;255,3024263;1559,646195;0;65,58906039
